2020-06-08 00:00:33.147 [http-nio-8089-exec-4] INFO  com.demo.aspect.HttpAspect -========================== ↓收到请求↓ ==========================
2020-06-08 00:00:33.150 [http-nio-8089-exec-4] INFO  com.demo.aspect.HttpAspect -请求url:/user/login
2020-06-08 00:00:33.150 [http-nio-8089-exec-4] INFO  com.demo.aspect.HttpAspect -请求源ip:0:0:0:0:0:0:0:1
2020-06-08 00:00:33.150 [http-nio-8089-exec-4] INFO  com.demo.aspect.HttpAspect -请求方式:POST
2020-06-08 00:00:33.151 [http-nio-8089-exec-4] INFO  com.demo.aspect.HttpAspect -请求方法:com.demo.controller.LoginController.login()
2020-06-08 00:00:33.151 [http-nio-8089-exec-4] INFO  com.demo.aspect.HttpAspect -请求参数:[admin, 1702a132e769a623c1adb78353fc9503, org.apache.catalina.session.StandardSessionFacade@25cd4cb0, org.apache.shiro.web.servlet.ShiroHttpServletRequest@22a84f7e]
2020-06-08 00:00:33.245 [http-nio-8089-exec-4] INFO  com.demo.aspect.HttpAspect -getContextPath:
2020-06-08 00:00:33.246 [http-nio-8089-exec-4] INFO  com.demo.aspect.HttpAspect -========================== ↑收到请求↑ ==========================
2020-06-08 00:00:33.252 [http-nio-8089-exec-4] INFO  com.demo.shiro.AuthRealm -======================= 认证登陆 ======================
2020-06-08 00:00:33.254 [http-nio-8089-exec-4] INFO  com.demo.shiro.AuthRealm -======================= 登陆成功 ======================
2020-06-08 00:00:33.295 [http-nio-8089-exec-4] INFO  com.demo.aspect.HttpAspect -========================== ↓响应请求↓ ==========================
